Rango Edad,Cantidad Personas,Rango salarial (SMLV),Genero,Tipo Pension
20-24,0,Mayor a 16,M,Sobrevivientes
25-29,0,Mayor a 16,M,Sobrevivientes
30-34,0,Mayor a 16,M,Sobrevivientes
35-39,1,Mayor a 16,M,Sobrevivientes
40-44,2,Mayor a 16,M,Sobrevivientes
45-49,0,Mayor a 16,M,Sobrevivientes
50-54,1,Mayor a 16,M,Sobrevivientes
55-59,1,Mayor a 16,M,Sobrevivientes
60-64,0,Mayor a 16,M,Sobrevivientes
65-69,2,Mayor a 16,M,Sobrevivientes
70-74,1,Mayor a 16,M,Sobrevivientes
75-79,2,Mayor a 16,M,Sobrevivientes
80-84,0,Mayor a 16,M,Sobrevivientes
85-89,1,Mayor a 16,M,Sobrevivientes
90-94,0,Mayor a 16,M,Sobrevivientes
95-100,0,Mayor a 16,M,Sobrevivientes
100-104,1,Mayor a 16,M,Sobrevivientes
0-19,1,Mayor a 16,F,Sobrevivientes
20-24,0,Mayor a 16,F,Sobrevivientes
25-29,0,Mayor a 16,F,Sobrevivientes
30-34,0,Mayor a 16,F,Sobrevivientes
35-39,0,Mayor a 16,F,Sobrevivientes
40-44,1,Mayor a 16,F,Sobrevivientes
45-49,1,Mayor a 16,F,Sobrevivientes
50-54,9,Mayor a 16,F,Sobrevivientes
55-59,5,Mayor a 16,F,Sobrevivientes
60-64,9,Mayor a 16,F,Sobrevivientes
65-69,20,Mayor a 16,F,Sobrevivientes
70-74,15,Mayor a 16,F,Sobrevivientes
75-79,9,Mayor a 16,F,Sobrevivientes
80-84,2,Mayor a 16,F,Sobrevivientes
85-89,1,Mayor a 16,F,Sobrevivientes
90-94,2,Mayor a 16,F,Sobrevivientes
95-100,0,Mayor a 16,F,Sobrevivientes
100-104,0,Mayor a 16,F,Sobrevivientes
